str,calibration
vgbprsjllsrhkltdrcknmfk1rpeightjpkxvjsrm,18
six81hgfzghnn8fivenseven,67
ninesrqjnt9onetwoeight63j,93
pbrrb9fqjhhfhfh9twokhhdsghvjkvkpj,92
1nineztppgztbdxvrgqvs46,16
jbqrdsqtfninefxtg1nzmdcqvg,91
41ninefiveninefiveone96,46
mmsfsjeightthreeqgbfbnvgnv5four4threepggz,83
6threehqq5four,64
mpthqgsix86two,62
5onesevenfive61,51
8ninetwoeightj31,81
7fivekxzhlxdsevenzn,77
sevenshxtsixzdfjvpcsc5jvjhgzbssbrqtwonemx,72
phls1,11
148nxbhkjr,18
2l8threeqfpddrjxrzlqldtqjseventwo,22
k7one,71
92sixtwotwoglmnxdnxz,92
9six4xdh,94
9five9nine,99
k21xc,21
sixonegsbffgtsevenzjbrone4chq,64
eightfive67fiveseven3four9,89
8lxzjjjshhgpvkmzcjjljr1fiveltt1,81
nine24eightts5xnfgtlpng5rkq,95
lhtwone1six8156zttxfdn5,25
69sevenmbkjdjbl,67
hnm8fivetwo,82
6threezc,63
lhmtbt7ltb6,76
six1eight4crjfmmxonenine,69
fhrvhfkp4xjstfour,44
kxeightwoseventlrvhfrkhrhfive34twos,82
sfvdlttlrfourthreevzksseven736,46
7crlzrzone8,78
fjsfpfivejxvqnq16threesixqxdmjz6,56
fkrjfjkgbjnine63fxfkfvphbjngnfqbhb2seventlbbr,97
596,56
dgfrd288six,26
783nine,79
two8fivefpkjllbnqgqlkqms7mmhbsrnhsxnbmjv,27
seven79one9,79
fourmrxqtmg21lnztkhx,41
3one728sixfive,35
fourconemgdcch8three,43
bfsfktfbvqfiveonecljcbqfnine2five,55
5eight2sevenzxpsk,57
6twotrvkhqrsppcxhjvjlkhcjrqpqvqxrmxqt,62
77kxkrpzr,77
grlrh36sevenone49,39
9fiveeight8,98
five4jbspqscf,54
4zzzjxghvcj,44
6xhrgnhxzx16xrknine,69
84nqhnxcdldthreeseventwodnbpszp,82
twoseven3xzpxpgjvbgldlqsgf,23
ncsfckp5cgv4jrbkf,54
9eightsixtcdkzlbl,96
sjfxx4,44
onebshtqkhslhfvhgqtvsnhqfhone4,14
fgggsixtwo4pl5,65
nvrr2twohknrgcxtpltwosgfbnlszeight,28
five1bzfdfsrz,51
4xvtwo2,42
five2eighth4,54
2jlnlmbqccrgkmjqninethreethreenine4,24
gtxxdnxqzlfive5seven,57
fivegjkqh46eight,58
33z,33
48sixscgcghlqjheight,48
vkfzkkxxnj17fivedt,15
onejlhdglpkjsixtwo24,14
4bssmdxpone1bnxjtwo,42
pbsixsfxddk3fivefive43eight,68
fivemnmqbzonetdgvmsone48,58
dbjeightwo9nine9,89
eight123kkptmzpqjj1,81
15krrcpgqshrhxrxpgone8kbkvgjlghc,18
45eight323hvnbtbqqtwoeight,48
veightwo2dsqjg,82
three77q6,36
1hshtr1vsbhfctfpdl1threem,13
nineninethreevvgbclnkcmzhctgjtwoseven4,94
seven3foursix4four,74
fhvm96bbxrmtcgcthree4rthree7,97
65crr,65
7ljvcqtceightbnkpbxqgfvfzxmfmctdjctgcc,78
llj659nine5rl,65
two8fivep3ddmpdhngm8cf,28
hljxhkvbk4five5k,45
threeninefive9,39
jncnpkxjvst2eightrjltjc,28
4psqtnkxrc,44
eightqtscplvmkbrlnine449nbnxtkz7,87
sixnvkbxlxninevhtdvf77zrnjzxfbdlsix1,61
eight2mznnrmhnmclxdcdzjsfourtxvgmdzvk,84
fkghbffpnmqblcrfivethreethree195,55
pxgpcrmpone1one,11
5pfkktxpfjgsixp5lbhrvv373,53
six8seven2fseven6,66
eight9crdxxxgpbprtdxpfsgglkst1,81
8zbmntvnpfoureightxz7four,84
3599lx5,35
seven9six4fdqr3vgq8,78
fiveone2twosevenfive,55
twotwo35sixczdx,26
two62964mdhbqhrfkf,24
phtrfmmkzonedcsnqdvrghvvf36thqdxfrh,16
dxnqsdhfivefour2385threeone,51
7onetwo,72
pfzrvpphj7phnzqmkbbbfvstwosevensix,76
69foursixonefive2,62
jszkfs9hkcsnxtzfs3,93
gqb1gzbglssfxqjvffivexlphdd7,17
2one777,27
qcczbcm4sevenseven,47
4threevxhtx,43
tdxxf8,88
jlxc5fivesixeight,58
sbszlkpjgfivevtsjscqdpv5eight56,56
bbpxxtwo798,28
fiveztdspgfive97zfmrvnxeighttwosix,56
51threetwovrbv5,55
fourfhxzgvbgdceightqnqrvmb7,47
11ngqhghdsevensthhs9,19
sevensevenrqmpsf4hnpqxmgbhskllksnkfourfour7,77
vheightwo5twothreehbzcrs,83
2fournpvcpksffj1,21
mxmldpfsevenpfcvhff9twonineeight,78
9pcqfrtkrtwo,92
hxxzppmlfive6cktznkfgmnctjfjpxvgdfszk7ptwo,52
vjjhjlqsvknineggvjdnnpltzrrqz7,97
9xdjlnqc,99
seven1lmdffjjqgxone,71
fiveseven9,59
5931zmck,51
twofourvzrdjmhbnl9onedrtcnl,21
4trmsevenhbsone,41
87pzvbcrdvzg3vfszszfds13,83
5three38gccjdm6six,56
xcszzrlpltbxs48mcs,48
ksjzvcgptnq3bfhrfx,33
twoninethreekhvndq8jfkrfpzsr71six,26
nine8zmnsdzxqhf4nine6nine,99
bsdvvggfrjvbvqrtjzbkzmcp64fourthree,63
nceighteightggrtjsblxdhpxsix7,87
ninebv8,98
136tjpsfdgnine,19
9q,99
seven1two,72
mtmzmplcnrfive3rtmhcxcxpsixeight2eight2,52
qclnh4,44
5d,55
tmvbmvh176jngdjlhszlfcbzv,16
two77jzfncqnm,27
onexdcrstcqlsixnmtxndzksfsvrxccmjj45,15
threeone58rzpfivenine,39
118zgl48,18
tfhdfive1gzz59bkztx,59
r3three4fourgzlgljdrmnmnjntssbpvkpmfdsjlbl,34
24hz,24
four8sixone6,46
nineqfggh3svpvlfzpfxoneeight6twohzb,92
941,91
onefivejnbgncqfzcsixdqd8rxjd2,12
9fivesixfivefivesix647,97
noneight25fhqrvv,15
eightninephmksl9dvhvcbvdldthree,83
threegr8,38
6fzqndfour5nine,69
4bl2zhcnpqvxthreemkjfqmdctsqzbkllfgvsmtt,43
9three13,93
hvbftpsbprhzx5,55
one7threer57,17
psdkpvjkzrs3sixfive,35
ngsqbpfbt34,34
gbdh7threexnszmtwo,72
64cmmt9sevenh8qdgmcpplgsj,68
fivervlsbzjsfiveqbmlrvlzqn8twoeight1vxzkjf,51
bznrgbrmnzvhp1twosix,16
97gldxj,97
fsjbjcklxp9nine2,92
hpgm7three,73
ljxcrlfive9bf,59
four894zmzmllzgkv,44
fivetmbkmmrjg9seven1tsix1,51
88sixgprtzhfzsncm4,84
dbdqkgtdxdjxhk3lsqvsmmtonexstlrplstvqvvmthree,33
sixfbvmqxbhbgfbl3,63
jkdshphdg1,11
sevenrkrvtwofivenine4fourcmjmmdvzvh,74
553,53
cqthreeone2ppfflh3fiveseven,37
5fivekxfzpzjsd42sevenzgfourtwo,52
55fivekrtckjphnlplbcbxbzf,55
1pgsfgdf755,15
5dncccmkpqtwocmmlltvbg,52
two23eight9lnjk,29
1148pdtcl1eight5oneights,11
4ltrvvtxfhcp8eight4dpfhmqeight,48
44xtvnlrcpb,44
9knzcfpkv2hqntgqkfgtsix1eight8,98
rlgmxxmpsk9,99
1one9,19
1six9fsvbrrgxqpsevensbnzshmb9,19
ftgbfqrzslqrcmmeightnjjrrkvhntcv1djmbqztrkvlqfkshoneightggd,81
one5twofqqgcdvzkllqgxhjpmkhsjpthree,13
sevenxtmq34two9gnvrvxfjmgq,79
nineeight6mkvbfour6four,94
6dcrpx8sixseven2bbszpncx3,63
6keighteightfive6six13,63
sixfive69sevenschkmdrvs,67
dzdgsmgcmkthxddd1921two7,17
fivenine9eighttworlrccrjzseven3,53
3onefoursix,36
6jzqksxpk,66
qfjhv1,11
sevennssgfpzt2bcxldkphfour1sixnine5,75
sx1zhzzpzonevrllpblsfnxzknmpconefktdt,11
mdvqxbgjhzprrhvqhdt6kfq,66
sclszppxlpzvzpscvqc791twochlgnsf4,74
krtjqmseven6tbllzgjcghsix1,71
114,14
75kp,75
rbrftcblxcknine4eight,98
ffmsgbqf33jcjktprgmczzkd6,36
v9zjhcvjjkr716,96
three49oneightf,31
ninesix2twobvdrbsvjrmvhsdhncsqhcfour,94
5thmkvcrfsix87hjhgbrxxfgseven,57
five8fourone24fqjknjq,54
xfmeight8,88
7onenine,79
fivesixfive2six9hn,59
7six441,71
1gjkphqtwo,12
fourhzgxqtxggfpprrmtfqsdhc2fdxnjdgx64five,45
threeninejdzzrbpmfhjcqdsix8two2bb,32
7877pzrbtcsddmrffzdsmqlqkjsix,76
5four3eight,58
15nine1,11
